what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297255901675
java.vm.specification.version,sysinfo,,,"1.0",1297255901675
java.vm.vendor,sysinfo,,,"Apple Inc.",1297255901675
java.vm.version,sysinfo,,,"17.1-b03-307",1297255901675
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255903392
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1297255912468
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1297255917096
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255917233
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1297255917356
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1297255917365
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1297255917365
started,bundle,org.eclipse.jgit,0.7.1,"org.eclipse.jgit",1297255917680
started,bundle,org.eclipse.egit.core,0.7.1,"org.eclipse.egit.core",1297255917709
started,bundle,org.eclipse.egit.ui,0.7.1,"org.eclipse.egit.ui",1297255917748
started,bundle,org.guvnor.tools,5.0.1,"org.guvnor.tools",1297255917785
started,bundle,org.spearce.jgit,0.4.9.200906240051,"org.spearce.jgit",1297255917794
started,bundle,org.spearce.egit.core,0.4.9.200906240051,"org.spearce.egit.core",1297255917846
started,bundle,org.spearce.egit.ui,0.4.9.200906240051,"org.spearce.egit.ui",1297255917905
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1297255918161
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1297255918183
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1297255918320
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1297255920382
started,bundle,org.eclipse.xtend.typesystem.uml2.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.uml2.ui",1297255920400
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1297255920427
started,bundle,org.eclipse.xtend.typesystem.xsd.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.xsd.ui",1297255920483
started,bundle,org.eclipse.xtend.shared.ui,0.7.2.v200908120436,"org.eclipse.xtend.shared.ui",1297255920484
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1297255920528
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1297255924905
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1297255924982
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255924988
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1297255925172
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1297255925174
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1297255925574
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1297255925576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255926379
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1297255928598
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1297255928609
started,bundle,org.eclipse.emf.mint,0.8.0.v200906161513,"org.eclipse.emf.mint",1297255935393
started,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1297255935394
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1297255939097
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297255939404
error,log,,,"Unable to associate action set with part: org.eclipse.jdt.ui.CompilationUnitEditor. Action set org.codehaus.groovy.eclipse.junit.JUnitActionSet not found.",1297255939535
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297255939972
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1297255942562
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1297255943216
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1297255943698
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1297255943799
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1297255943810
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1297255944335
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1297255944575
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255946903
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255948956
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297255949112
started,bundle,org.codehaus.groovy.eclipse.ui,1.5.7.20081120_2330,"org.codehaus.groovy.eclipse.ui",1297255949984
started,bundle,org.openarchitectureware.base,4.3.1.200905111041NGT,"org.openarchitectureware.base",1297255950120
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297255951440
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1297255951606
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1297255951645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255965301
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255976069
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255977135
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255978731
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297255980972
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297255982413
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1297255984051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255986263
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255987407
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1297255990791
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1297255990821
started,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1297255990877
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1297255992437
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1297255992522
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1297255992536
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1297255992562
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1297255992588
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1297255992594
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1297255992627
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255992770
error,log,,,"Project facet jst.web has not been defined. It is used in plugin org.eclipse.wst.jsdt.web.core.",1297255992787
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297255994533
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256021141
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256274606
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1297256274708
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1297256274708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256275617
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256317548
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256317861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256357408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256359205
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256360906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297256361020
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1297256361539
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256361638
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256363155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256369623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256371338
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297256371948
started,bundle,org.drools.eclipse,5.0.1,"org.drools.eclipse",1297256373488
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256384567
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256386700
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297256388882
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297256390114
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256394664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256395806
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297256396974
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256414464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256415788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256416858
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256417703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256419064
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256422358
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1297256424145
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297256424902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256430078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256431430
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256450699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256454318
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297256456573
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256461825
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256463009
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256477591
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256481057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256481887
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297256485435
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1297256486831
